label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
1,137763799659789.64,2055703833660.334,558028011920.2131,243016699148.3315,149817464981.2484,89621005681.59317,53819272127.412994,35270526529.92318,21471287552.261993,17161013217.561522,14866949050.803978,14264276366.961586,15465146582.057144,14212497608.419872,10524987661.178108,8752177034.044895,9929276501.614017,6936070373.694636,5947982264.8725815,5269691891.559882,5006451425.074331,4125643712.227215,3174644969.6322026,2662729758.9292545,2513219969.1746874,2383640740.754715,2130434957.8612542,2036074457.807404,2153914621.9921036,428120705.8346108
1,88234792277147.66,875464080588.583,264597396828.1811,103296705256.59879,54693832978.96373,33469412263.700104,22526350275.148422,15377366765.799358,8936949497.33995,6581556981.21542,6550484211.689321,5786679204.458855,4775691925.745269,4947771947.617652,5816803519.552679,6350769685.512905,7291072705.42676,6829162842.509153,5839802804.723272,4396646833.49746,3856824073.1694055,3106777306.391812,2981246032.6238513,2316196457.384323,2004147498.392431,1835479427.700128,1669305299.8259137,1558637473.2690039,1626678876.8486814,312437226.46476877
1,122148701108128.16,2809688125295.5654,757980790463.8596,351842570703.70593,203326649354.08325,145295743731.03046,95081493233.55408,61931995652.39695,47230159080.05905,33009874824.335518,27180324582.293755,23528684630.13695,21274568603.609962,16840631470.933306,14894326730.698448,13290283746.58974,10089344906.61617,9405880722.99842,8040890451.030249,7291882964.32161,5363266470.956236,5242657103.322107,4842742975.13724,4456287817.132575,3922049271.0642705,3535916251.6654286,3628901838.1003127,3197973590.6376123,2902825383.56711,738210470.4563775
1,137928856386314.6,3063987845797.3486,776018879933.5709,366539196648.12244,207633498290.1858,124218448659.46945,85352150964.59859,61153631747.55368,43907269415.57573,34501832897.51592,28145626508.81344,23462457534.04059,19203031280.783592,16264591809.497894,14139946292.128265,13998886842.485416,12786795888.137386,11926075058.363789,10574845929.839895,9260876246.535557,6532372224.144478,5957328862.763592,5256583747.242487,4666807667.6289425,4083708748.0113745,3760487947.3461857,3891496722.9078803,3687414011.1299505,3641663723.780621,801173769.893961
1,123493291921322.81,324398861886.9214,123174644745.84229,59232564622.47872,33713241308.32274,21222633618.069447,15771196502.628359,10775274167.713968,3669832469.8334002,3001246575.663188,2919298416.908557,2250499903.8201303,2058424983.3632786,1873679272.107087,1626014717.1089995,1419787421.0564756,1344442686.6223593,1249133930.1336436,1037963163.4694905,994493129.8887275,923458092.3659258,814299892.0357897,804332524.398853,720637976.2390168,646206152.707871,644781167.2616425,593280243.0985531,587747482.8203119,576776287.2264923,149261112.08965313
1,100143010758892.33,1264372136829.9614,406528347953.3596,180085651581.2772,114030546793.12556,80654776917.64307,59895215086.425354,39950540925.09241,15841353367.47064,13129982515.191614,11449692657.435581,9950986405.762081,9477076689.960938,8813105532.18054,7231699464.052025,7864577993.5650215,7282006734.163051,5617329579.77842,4198035220.1417418,3717195743.9067388,3476531543.3295107,3199667649.380589,3107793229.990925,3016965533.3290873,2742986372.765775,2808031655.667992,2708922509.368391,2450669297.4169636,2539707412.93866,262399176.99581677
1,135953828486330.77,2610514193995.0356,779353947934.9238,374453134515.9825,203655263916.4239,126384594534.14325,86889112586.74585,62324291423.39754,39125463178.02399,30755325101.25624,27394349699.937187,23983071839.85121,25606661372.810097,20919620423.916008,14030247589.845787,9914303859.270689,9313423524.25804,7975378411.231519,6461284148.326833,6655474434.224155,5754207840.012659,4970647227.139944,4177057217.6815834,3638962759.058953,3947481172.541788,3960806279.897711,3474889645.2032595,3094103570.0774193,2889966955.5611267,530560167.4419681
1,103250349596884.55,1073032618089.9583,300994432962.4048,123527361028.79745,65002504926.456505,40221943753.244606,25582040832.701935,16890051233.119858,9763669609.74437,7071122502.12952,7625595530.110164,7428249491.520169,8570843777.164987,10968157656.574986,9378020509.0429,9547192336.033333,7284484055.606108,5264367835.3434305,4358489592.749762,3573262940.0228844,3523056564.998333,3479938914.5811467,2862475636.885227,2489797889.3691444,2026771961.628923,1963460197.106303,2046805298.1360319,1766314963.313393,2013447121.9727101,430093900.74958754
1,126437072786857.27,854734351191.4685,327849590638.254,188509157898.20462,97168237135.565,61514462686.747795,53770457771.6769,37817142656.84572,16254075551.978073,12771565490.219662,10494043586.076527,8083250975.171795,7134640972.491102,6598377718.913122,5279982881.46718,4273363965.132911,3682988007.9456053,3182828472.2330627,2984756742.766898,2975360928.256713,2587931003.6517324,2354525484.25555,2286343693.3738985,1952934260.3918185,1761670420.6015377,1764178501.9964972,1640110591.3444142,1563581124.0613518,1759413425.3549237,269161669.2742687
1,125299159843411.4,1084907109225.7056,370898311364.6387,202965013454.8778,125914630772.22607,84973833858.92139,59223306842.16028,50329078121.81,30223424589.28279,22608835248.931133,20326921268.308323,19221429748.22128,14807587058.355612,13975080836.96135,12217327245.05707,9869843054.532578,9322008410.283285,9536270997.49319,9033869401.633343,8649392616.589912,8267175825.518726,7364780455.956526,7841698805.122162,7356401482.940614,6842772138.71617,6650799413.819656,6308630443.9921255,6294663861.2596855,6145194852.316313,1020347607.9757777
